Area,Build year,Building type,Equipment,Floor,Heating system,No. of floors,Number of rooms,Renovation year,price,city,region,street
49,2018,Brick,Partial decoration,2,Gas,4,2,0,58800,Druskininkų m.,None,Liškiavos g.
73,2020,Brick,Partial decoration,2,Aerothermal,2,3,0,112500,Palanga,None,Medvalakio g.
141,2020,Brick,Partial decoration,1,"Central, gas",1,4,0,225000,Vilnius,Lazdynėliai,Miškinių g.
86,1910,Brick,Fully equipped,3,Central,3,3,0,210000,Vilnius,Senamiestis,Pakalnės g.
80,2019,Brick,Partial decoration,3,Central,4,3,0,122000,Kaunas,Žaliakalnis,Tvirtovės al.
38,2021,Brick,Fully equipped,1,Electric,3,2,0,105600,Palanga,None,Vaivorykštės g.
88,2021,Brick,Partial decoration,1,Gas,1,3,0,95000,Kauno r. sav.,Vijūkų k.,Jūrės g.
62.08,2017,Monolithic,Partial decoration,3,Gas,4,3,0,117952,Palanga,Šventoji,Jūros g.
61.8,2021,Brick,Partial decoration,2,Central thermostat,4,3,0,109500,Vilnius,Justiniškės,Taikos g.
40.63,2020,Block house,Partial decoration,2,Central thermostat,9,2,0,54500,Kaunas,Dainava,Pramonės pr.
29.8,1965,Block house,Fully equipped,3,Central,9,1,0,62500,Vilnius,Žirmūnai,Žirmūnų g.
94.47,1896,Brick,Fully equipped,3,Central,3,3,2018,360000,Vilnius,Naujamiestis,Algirdo g.
39.5,2021,Monolithic,Partial decoration,1,Gas,4,2,0,102700,Palanga,Šventoji,Jūros g.
50,2020,Brick,Partial decoration,8,Central thermostat,9,2,0,119500,Kaunas,Žaliakalnis,Radvilėnų pl.
42,2020,Brick,Fully equipped,4,Central thermostat,4,2,0,64990,Klaipėda,Šauliai,Ragainės g.
57,2021,Brick,Partial decoration,3,Central thermostat,4,3,0,72990,Klaipėda,Šauliai,Ragainės g.
68.36,2020,Brick,Partial decoration,5,Central thermostat,6,3,0,156000,Kaunas,Centras,Krėvos g.
53.84,2020,Brick,Partial decoration,5,Central thermostat,6,2,0,122000,Kaunas,Centras,Krėvos g.
59.87,2009,Block house,Fully equipped,11,Central thermostat,12,3,0,95000,Vilnius,Pašilaičiai,Perkūnkiemio g.
59.19,2006,Brick,Fully equipped,9,Central thermostat,12,2,0,93000,Vilnius,Fabijoniškės,Salomėjos Nėries g.
62,2020,Monolithic,Partial decoration,3,Central,7,3,0,100688,Vilnius,Pilaitė,M. Mažvydo g.
55.16,2019,Monolithic,Partial decoration,1,Central thermostat,5,2,0,137925,Vilnius,Naujamiestis,Aguonų g.
72.19,2021,Monolithic,Partial decoration,6,Central thermostat,7,4,0,238227,Vilnius,Naujamiestis,Aguonų g.
43.5,2021,Brick,Partial decoration,4,Central thermostat,4,2,0,104400,Kaunas,Žaliakalnis,Lietuvių g.
35.85,2008,Brick,Fully equipped,3,Central thermostat,9,2,0,75000,Vilnius,Pašilaičiai,Perkūnkiemio g.
112.93,2020,Monolithic,Partial decoration,6,Central thermostat,7,4,0,357000,Vilnius,Antakalnis,Smėlio g.
100.75,2020,Brick,Partial decoration,2,Gas,3,4,0,183640,Vilnius,Bajorai,Salaspilio g.
46.77,2020,Monolithic,Partial decoration,2,Gas,4,2,0,74173,Vilnius,Bajorai,Salaspilio g.
50.72,2020,Brick,Partial decoration,3,Gas,3,2,0,86224,Kaunas,Žaliakalnis,P. Kalpoko g.
50.44,2020,Brick,Fully equipped,1,Gas,3,2,0,107499,Kaunas,Žaliakalnis,P. Kalpoko g.
38.56,2021,Brick,Partial decoration,1,Geothermal,3,2,0,78952,Palanga,None,Bangų g.
55,2006,Brick,Fully equipped,4,Central thermostat,8,2,0,92000,Vilnius,Pašilaičiai,Sviliškių g.
43.89,2018,Brick,Fully equipped,1,Central thermostat,4,1,0,77000,Vilnius,Lazdynėliai,Lietaus g.
23.92,1940,Brick,Fully equipped,3,Central,6,1,0,46900,Vilnius,Senamiestis,Tauro g.
57,1985,Block house,Fully equipped,3,Central,5,3,0,75000,Vilnius,Justiniškės,Taikos g.
39,2013,Brick,Fully equipped,1,Central thermostat,6,1,0,72400,Vilnius,Viršuliškės,Viršuliškių skg.
67.32,1980,Block house,Fully equipped,1,Central,5,3,0,89000,Vilnius,Šeškinė,Ukmergės g.
65.2,2004,Brick,Fully equipped,5,Central thermostat,5,3,0,92900,Klaipėda,Debrecenas,Debreceno g.
46.19,2016,Brick,Fully equipped,6,Central thermostat,7,2,0,98285,Vilnius,Karoliniškės,Sausio 13-osios g.
51,1966,Brick,Fully equipped,4,Central,5,2,0,62500,Klaipėda,Kaunas,Kauno g.
39.18,1980,Brick,Fully equipped,8,Central,12,2,0,43500,Vilnius,Naujoji Vilnia,Parko g.
184,1996,Brick,Fully equipped,2,Gas,3,6,0,125000,Kaunas,Šilainiai,Priekulės g.
18.72,1957,Brick,Fully equipped,3,Central,3,1,0,13900,Kaunas,Vilijampolė,Sąjungos a.
62,2019,Block house,Fully equipped,4,Central thermostat,8,3,0,169900,Vilnius,Šnipiškės,Žalgirio g.
198.26,1998,Brick,Fully equipped,3,Central,4,5,0,329000,Vilnius,Žvėrynas,Stirnų g.
273.72,2018,Brick,Fully equipped,2,Gas,2,4,0,342000,Vilnius,Antakalnis,Nemenčinės pl.
35.52,2020,Brick,Fully equipped,1,Other,2,2,0,103200,Palanga,Šventoji,Prieplaukos g.
55.05,2019,Other,Partial decoration,8,Central thermostat,9,3,0,176200,Vilnius,Šeškinė,Siesikų g.
114.03,2019,Other,Partial decoration,9,Central thermostat,9,3,0,216700,Vilnius,Šeškinė,Siesikų g.
42.79,2022,Brick,Partial decoration,3,Central thermostat,6,2,0,69800,Vilnius,Pašilaičiai,Budiniškių g.
31.82,2021,Brick,Partial decoration,4,Central thermostat,5,1,0,53700,Vilnius,Pašilaičiai,Budiniškių g.
30,1938,Brick,Fully equipped,1,Central,4,1,0,112000,Vilnius,Senamiestis,Vilniaus g.
90.39,2020,Brick,Partial decoration,1,Central,3,5,0,108470,Vilnius,Lazdynėliai,Bukčių g.
89.44,2008,Brick,Fully equipped,5,Central thermostat,9,4,0,130000,Vilnius,Pašilaičiai,Perkūnkiemio g.
80.25,1924,Brick,Fully equipped,2,Gas,3,3,2016,126900,Kaunas,Centras,Girstupio g.
59.5,2021,Brick,Partial decoration,1,Gas,3,3,0,59500,Kauno r. sav.,Giraitės k.,Putinų g.
51.43,1970,Brick,Fully equipped,4,Central,5,2,0,12800,Alytus,Senamiestis,Varėnos g.
55.3,1967,Brick,Fully equipped,5,Central,5,3,0,52000,Klaipėda,Kaunas,Kauno g.
20.6,1967,Brick,Fully equipped,1,Central,9,1,0,27000,Klaipėda,Kaunas,Kauno g.
88,1934,Brick,Fully equipped,1,Central,3,3,0,129000,Klaipėda,Centras,Šaulių g.
53.2,1970,Brick,Fully equipped,8,Central,9,2,0,51900,Klaipėda,Baltija,Baltijos pr.
74,1988,Monolithic,Fully equipped,13,Central,16,3,0,82000,Vilnius,Justiniškės,Justiniškių g.
45.16,2022,Brick,Partial decoration,2,Central thermostat,6,2,0,101000,Vilnius,Markučiai,Pakraščio g.
65.82,2022,Brick,Partial decoration,5,Central thermostat,6,3,0,161700,Vilnius,Markučiai,Pakraščio g.
115.8,1983,Brick,Fully equipped,2,Central,3,4,2020,330000,Kaunas,Senamiestis,J. Naugardo g.
50.42,2020,Brick,Partial decoration,5,Central thermostat,7,2,0,69425,Klaipėda,Baltija,Baltijos pr.
72,2017,Brick,Fully equipped,1,Gas,3,3,0,116000,Trakų r. sav.,Naujojo Lentvario k.,Saulės g.
79.51,2012,Brick,Fully equipped,2,Central thermostat,3,2,0,395000,Vilnius,Senamiestis,Trakų g.
40.6,2021,Brick,Partial decoration,4,Central thermostat,9,2,0,91150,Vilnius,Verkiai,Žvalgų g.
39.08,2021,Brick,Partial decoration,2,Central thermostat,9,2,0,86150,Vilnius,Verkiai,Žvalgų g.
73.53,2021,Brick,Partial decoration,3,Central thermostat,9,3,0,100000,Vilnius,Justiniškės,Rygos g.
38,2020,Brick,Partial decoration,9,Central thermostat,9,2,0,96000,Kaunas,Žaliakalnis,Radvilėnų pl.
12,1982,Brick,Fully equipped,1,Central,5,1,0,29900,Vilnius,Naujamiestis,Kedrų g.
46.99,1969,Block house,Fully equipped,5,Central,5,2,0,77500,Vilnius,Lazdynai,Erfurto g.
41.13,1960,Brick,Fully equipped,2,Central,4,2,0,81000,Vilnius,Naujamiestis,Savanorių pr.
46.9,1974,Block house,Fully equipped,5,Central,5,2,0,65000,Vilnius,Karoliniškės,Apolinaro Juozo Povilaičio g.
66.53,2019,Brick,Partial decoration,1,Gas,3,3,0,117000,Vilnius,Antakalnis,Pylimėlių g.
33,2021,Brick,Partial decoration,2,Gas,2,2,0,62000,Palanga,None,Vėžių g.
33,2021,Brick,Partial decoration,1,Gas,2,2,0,62000,Palanga,None,Vėžių g.
59.46,1911,Wooden house,Fully equipped,1,Gas,2,3,2017,119000,Vilnius,Antakalnis,Rudens g.
40.63,2020,Block house,Partial decoration,6,Central thermostat,9,2,0,58500,Kaunas,Dainava,Pramonės pr.
58.86,2020,Brick,Partial decoration,2,Central,3,2,0,153036,Druskininkų m.,None,Klonio g.
80,2019,Brick,Partial decoration,2,Gas,3,4,0,88000,Vilnius,Kalnėnai,Valonų g.
38.02,2020,Brick,Fully equipped,1,Gas,3,2,0,124000,Palanga,None,Vanagupės g.
32,1972,Block house,Other,3,Central,9,1,0,55000,Vilnius,Karoliniškės,Vido Maciulevičiaus g.
